"","site_name","type_of_fish","measurement_type_number_weight_other","measurement_units_total_percent_other","sample_size","start_date","end_date","sampling_interval","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"1","Lake  Koronia, Greece","Alburnus alburnus","number","percent","400","1987-02-01","1988-01-01","monthly",NA,NA,NA,NA,NA,NA,"lentic",NA,"Politou","1993","Journal of Fish Biology","Politou, C. Y., Economidis, P. S., & Sinis, A. I. (1993). Feeding biology of bleak, Alburnus alburnus, in Lake Koronia, northern Greece. Journal of fish biology, 43(1), 33-43.","tbl1","averaged over months","1",NA,"copepoda_copepodids","46.68","unknown"
"2","Lake  Koronia, Greece","Alburnus alburnus","number","percent","400","1987-02-01","1988-01-01","monthly",NA,NA,NA,NA,NA,NA,"lentic",NA,"Politou","1993","Journal of Fish Biology","Politou, C. Y., Economidis, P. S., & Sinis, A. I. (1993). Feeding biology of bleak, Alburnus alburnus, in Lake Koronia, northern Greece. Journal of fish biology, 43(1), 33-43.","tbl1","averaged over months","1",NA,"nauplii","0.07","unknown"
"3","Lake  Koronia, Greece","Alburnus alburnus","number","percent","400","1987-02-01","1988-01-01","monthly",NA,NA,NA,NA,NA,NA,"lentic",NA,"Politou","1993","Journal of Fish Biology","Politou, C. Y., Economidis, P. S., & Sinis, A. I. (1993). Feeding biology of bleak, Alburnus alburnus, in Lake Koronia, northern Greece. Journal of fish biology, 43(1), 33-43.","tbl1","averaged over months","1",NA,"bosmina_longirostris","38.56","unknown"
"4","Lake  Koronia, Greece","Alburnus alburnus","number","percent","400","1987-02-01","1988-01-01","monthly",NA,NA,NA,NA,NA,NA,"lentic",NA,"Politou","1993","Journal of Fish Biology","Politou, C. Y., Economidis, P. S., & Sinis, A. I. (1993). Feeding biology of bleak, Alburnus alburnus, in Lake Koronia, northern Greece. Journal of fish biology, 43(1), 33-43.","tbl1","averaged over months","1",NA,"diaphanosoma_sp","11.78","unknown"
"5","Lake  Koronia, Greece","Alburnus alburnus","number","percent","400","1987-02-01","1988-01-01","monthly",NA,NA,NA,NA,NA,NA,"lentic",NA,"Politou","1993","Journal of Fish Biology","Politou, C. Y., Economidis, P. S., & Sinis, A. I. (1993). Feeding biology of bleak, Alburnus alburnus, in Lake Koronia, northern Greece. Journal of fish biology, 43(1), 33-43.","tbl1","averaged over months","1",NA,"sida_crystallina","0.01","unknown"
"6","Lake  Koronia, Greece","Alburnus alburnus","number","percent","400","1987-02-01","1988-01-01","monthly",NA,NA,NA,NA,NA,NA,"lentic",NA,"Politou","1993","Journal of Fish Biology","Politou, C. Y., Economidis, P. S., & Sinis, A. I. (1993). Feeding biology of bleak, Alburnus alburnus, in Lake Koronia, northern Greece. Journal of fish biology, 43(1), 33-43.","tbl1","averaged over months","1",NA,"moina_sp","1.95","unknown"
"7","Lake  Koronia, Greece","Alburnus alburnus","number","percent","400","1987-02-01","1988-01-01","monthly",NA,NA,NA,NA,NA,NA,"lentic",NA,"Politou","1993","Journal of Fish Biology","Politou, C. Y., Economidis, P. S., & Sinis, A. I. (1993). Feeding biology of bleak, Alburnus alburnus, in Lake Koronia, northern Greece. Journal of fish biology, 43(1), 33-43.","tbl1","averaged over months","1",NA,"daphnia_sp","0.72","unknown"
"8","Lake  Koronia, Greece","Alburnus alburnus","number","percent","400","1987-02-01","1988-01-01","monthly",NA,NA,NA,NA,NA,NA,"lentic",NA,"Politou","1993","Journal of Fish Biology","Politou, C. Y., Economidis, P. S., & Sinis, A. I. (1993). Feeding biology of bleak, Alburnus alburnus, in Lake Koronia, northern Greece. Journal of fish biology, 43(1), 33-43.","tbl1","averaged over months","1",NA,"ceriodaphnia_pulchella","0","unknown"
"9","Lake  Koronia, Greece","Alburnus alburnus","number","percent","400","1987-02-01","1988-01-01","monthly",NA,NA,NA,NA,NA,NA,"lentic",NA,"Politou","1993","Journal of Fish Biology","Politou, C. Y., Economidis, P. S., & Sinis, A. I. (1993). Feeding biology of bleak, Alburnus alburnus, in Lake Koronia, northern Greece. Journal of fish biology, 43(1), 33-43.","tbl1","averaged over months","1",NA,"alona_sp","0.05","unknown"
"10","Lake  Koronia, Greece","Alburnus alburnus","number","percent","400","1987-02-01","1988-01-01","monthly",NA,NA,NA,NA,NA,NA,"lentic",NA,"Politou","1993","Journal of Fish Biology","Politou, C. Y., Economidis, P. S., & Sinis, A. I. (1993). Feeding biology of bleak, Alburnus alburnus, in Lake Koronia, northern Greece. Journal of fish biology, 43(1), 33-43.","tbl1","averaged over months","1",NA,"leptodora_kindtii","0.04","unknown"
